,情感指数,
78,0.9999343,我们支持作为重组官方双边债务主要国际论坛的巴黎俱乐部为扩大新兴债权人的参与而进行的工作，并欢迎印度自愿与巴黎俱乐部合作，在个案基础上开展工作
79,0.661671234,我们将继续为建立一个全球公平、可持续和现代化的国际税收体系而开展合作，欢迎国际合作推动促进促进增长的税收政策
80,0.332390814,我们重申在世界范围内实施20国集团/经合组织税基侵蚀和利润转移（BEPS）（译注）一揽子计划和增强税收确定性的重要性
81,0.911904259,我们欢迎最近在解决数字化带来的税务挑战方面取得的进展，并赞同由小额支付系统包容性框架制定的双支柱方法组成的雄心勃勃的工作计划
82,0.912365371,到2020年，我们将加倍努力，在最终报告中达成共识
83,0.780077755,我们欢迎最近在税收透明度方面取得的成就，包括自动交换税务信息的进展
84,0.964835588,我们还欢迎更新后的司法管辖区名单，这些司法管辖区未能令人满意地执行国际商定的税收透明度标准
85,0.225003121,我们期待经合组织进一步更新考虑所有加强标准的清单
86,0.984991254,针对列出的司法管辖区，将考虑采取防御措施
87,0.280298187,2015年经合组织报告了这方面的可用措施清单
88,0.032612473,我们呼吁所有司法管辖区签署和批准《税务事项行政互助多边公约》
89,0.566506176,我们重申支持发展中国家的税收能力建设
90,0.997544654,技术创新可以为金融体系和更广泛的经济体带来重大利益
91,0.999310253,虽然加密资产目前不会对全球金融稳定构成威胁，但我们正在密切监测事态发展，并对现有和新兴的风险保持警惕
92,0.935895127,我们欢迎金融稳定委员会（FSB）和其他标准制定机构正在进行的工作，并请他们根据需要就其他多边对策提出建议
93,0.999825491,我们重申致力于将最近修订的《金融行动特别工作组准则》应用于虚拟资产，和相关的反洗钱和反恐怖主义融资提供者
94,0.98317452,我们欢迎通过金融行动特别工作组的解释性说明和指导
95,0.999978906,我们也欢迎金融稳定委员会关于分散金融技术可能产生的影响以及监管机构如何与其他利益相关者接洽的工作
96,0.853542979,我们还继续加大努力，增强网络恢复能力
97,0.998808585,我们欢迎联合国安理会第2462号决议，该决议强调了金融行动特别工作组在制定预防和打击洗钱、恐怖主义融资和扩散融资全球标准方面的重要作用
98,0.434685293,我们重申我们的坚定承诺，将加紧努力，打击这些威胁，包括加强金融行动特别工作组的全球区域机构网络
99,0.68203503,我们呼吁全面、有效和迅速执行《金融行动特别工作组标准》
100,0.999394668,以商定的国际标准为基础的开放、有弹性的金融体系对于支持可持续增长至关重要
101,0.999949648,我们仍致力于全面、及时和持续地实施商定的金融改革
102,0.884500924,我们要求金融稳定委员会继续评估其影响
103,0.996255843,我们将继续监测并在必要时解决金融稳定的脆弱性和新出现的风险，包括使用宏观审慎工具
104,0.999989173,虽然非银行融资为金融体系提供了可喜的多样性，但我们将继续酌情识别、监测和处理相关的金融稳定风险
105,0.918179602,我们欢迎市场碎片化相关工作，并将通过监管和监督合作解决其意想不到的负面影响
106,0.137819215,我们继续监测和处理代理银行关系退出的原因和后果
107,0.999408919,动员可持续金融和加强金融包容性对全球增长至关重要
108,0.909674257,我们欢迎私营部门在这些领域的参与和提高透明度
109,0.960251279,反腐败
110,0.999999634,我们仍致力于通过实施《2019-2021年二十国集团反腐败行动计划》，在预防和打击腐败以及促进廉正的全球努力中发挥主导作用，同时加强相关国际文书和机制之间的协同作用
111,0.855610611,认识到打击腐败是确保基础设施质量和可靠性的重要必要条件，我们欢迎《促进基础设施发展廉正和透明的良好做法纲要》作为我们进一步工作的一部分
112,0.904996358,我们赞同有效保护告密者的高级别原则
113,0.999889736,我们重申致力于推动二十国集团成员国在反腐败斗争中开展高水平国际合作，并通过有效实施《联合国反腐败公约》，包括其审查进程，以身作则
114,0.106519321,我们将加大打击外国贿赂的力度，确保每个20国集团国家尽快制定一部关于将外国贿赂定为刑事犯罪的国家法律
115,0.080248423,我们注意到为遵守《经合组织关于打击在国际商业交易中贿赂外国公职人员的公约》所作的努力
116,0.998851386,我们将继续开展打击腐败的务实合作，重申我们的承诺，根据我们的20国集团和国际承诺以及我们的国内法律制度，拒绝为腐败分子及其腐败所得提供安全庇护所，并将在资产追回合作方面更加密切地合作
117,0.980005825,我们期待有关国际组织拟备关于处理严重经济犯罪，和追回与腐败有关的被盗资产的国际合作的范围界定文件
118,0.997535463,此外，我们还欢迎有关6个国际组织正在开展的关于腐败与性别之间联系的工作
119,0.9985601,通过解决劳动力和就业的不平等，创造良性的增长周期
120,0.96878146,20国集团成员国的人口老龄化正在以不同的速度发展
121,0.999934102,考虑到20国集团人口结构的共性和差异，我们认识到促进一个健康和积极的老龄化社会的重要性，使工人能够在老年时参与劳动力市场，同时继续增加青年、妇女和残疾人参与经济活动
122,0.999949159,加强创造就业岗位和灵活安排工作，努力提高就业质量，终身学习，提高劳动者的就业能力，根据国情努力改善包括长期护理人员在内的全体劳动者的劳动条件
123,0.995842989,我们还将继续促进青年人的就业机会和就业能力
124,0.83746038,我们要求劳动和就业部长在9月松山会议上确定适应人口趋势的可能政策优先事项
125,0.999999654,我们认识到，新形式的工作，特别是由技术创新推动的工作，可能是就业机会的来源，但也可能对体面工作和社会保护制度构成挑战
126,0.99954227,我们鼓励劳动和就业部长进一步交流经验和良好做法，同时考虑到私营部门的观点，我们努力为这些新形式的工作制定适当的政策对策
127,0.999920095,我们仍致力于促进体面工作，并重申我们致力于采取行动，在工作世界根除童工、强迫劳动、人口贩运和现代奴隶制，包括通过建立可持续的全球供应链
128,0.519313883,妇女赋权
129,0.998068506,性别平等和妇女赋权对于实现可持续和包容性经济增长至关重要
130,0.988656385,我们再次确认它们在我们各项政策中的重要性，并在即将举行的首脑会议上作为一个跨领域的问题
131,0.997844742,我们注意到，在实现布里斯班目标方面取得了进一步进展，到2025年，将男女劳动力参与差距缩小25%
132,0.979538124,我们注意到国际劳工组织（ILO）和经合组织编写的《20国集团妇女工作进展报告》，并承认有必要加快我们的努力
133,0.99951421,在劳工和就业部长继续努力的基础上，我们将在年度报告的基础上，就20国集团在实现布里斯班目标方面所取得的进展和采取的行动进行交流，其中包括妇女就业质量
134,0.99773793,我们还将解决无薪医疗工作中的性别差距，这仍然是妇女参与劳动力市场的主要障碍
135,0.972659783,我们承诺采取进一步行动，提高妇女就业质量，缩小性别工资差距，消除一切形式的歧视妇女现象，消除刻板印象，承认妇女是和平的代理人，预防和解决冲突
136,0.999430512,我们承诺继续支持女童和妇女的教育和培训，包括提供优质的中小学教育，改善STEM（科学、技术、工程和数学）教育的机会，提高消除性别成见的意识
137,0.999997856,为了缩小数字性别差距，我们将继续加强女孩和妇女获得数字技术的机会，重点关注贫困地区和农村地区的需求
138,0.990654936,我们重申采取措施消除所有基于性别的暴力、虐待和骚扰的重要性，包括在数字环境中
139,0.995294592,我们特别欢迎私营部门为促进妇女获得管理和决策职位，以及培养妇女商业领袖和企业家精神所做的努力
140,0.99999782,我们重申为促进妇女创业而采取措施支持技能发展和提供资金的重要性，并欢迎继续实施妇女企业家融资倡议（We-Fi），以支持妇女创业在发展计数方面的重要性
141,0.746224777,包括在非洲
142,0.993173096,我们认识到鼓励私营部门作出努力的重要性，包括承认正在采取措施增加管理和决策职位中的妇女人数的公司，以及进行性别平等的投资
143,0.302169195,我们欢迎成立私营部门“赋予妇女经济代表权和促进妇女经济代表权（EMPOWER）”联盟，并呼吁该联盟倡导提高私营部门妇女的地位，我们将即将举行的首脑会议期间评估她们的进展、分享她们的具体努力
144,0.432926829,旅游
145,0.53506213,旅游业在全球GDP中占有重要份额，预计将继续成为全球经济增长的重要驱动力
146,0.999994466,我们将努力最大限度地促进创造优质就业和创业，特别是为妇女、青年和创意产业作出贡献；经济恢复能力和恢复能力；通过可持续旅游规划和管理保护自然资源；实现包容性和可持续发展
147,0.75,农业
148,0.531106619,为了实现粮食安全和改善世界不断增长的人口的营养，农业生产力需要提高，分配需要更有效，包括通过减少粮食损失和浪费，以更符合自然资源可持续管理的方式
149,0.992351333,为此，我们强调获得和利用现有的、新的和先进的技术的重要性，如信息和通信技术（ICT）、人工智能（AI）和机器人技术等，并鼓励利益相关者之间开展跨部门合作
150,0.999997778,我们还鼓励创新、技能培训和全民终身教育，吸引新的进入者，赋予农产品部门的青年和妇女权力
151,0.999957556,我们认识到以包容性和公平的方式发展可持续、科学和有弹性的农业粮食价值链的重要性，包括家庭农业和小规模农民，这也将有助于振兴农村地区
152,0.999979124,我们强调需要继续加强信息共享和研究协作，以应对现有和新出现的动植物健康问题
153,0.996959123,我们将进一步鼓励自愿向更可持续的农产品部门交流良好做法和知识
154,0.992296483,实现包容和可持续的世界发展
155,0.99998635,鉴于9月份联合国高级别政治论坛和发展筹资问题高级别对话，我们仍决心在及时执行2030年可持续发展议程，和亚的斯亚贝巴行动议程方面发挥主导作用
156,0.999986834,我们认识到，促进国际公共和私人金融以及包括混合金融在内的其他创新融资机制的发展，可以在提升我们集体努力的规模方面发挥重要作用
157,0.026911219,《大阪更新》以《二十国集团2030年可持续发展议程行动计划》为基础，强调了二十国集团为落实《2030年议程》所采取的集体和具体行动，有助于确保“无人落后”
158,0.535645214,我们欢迎大阪全面责任报告
159,0.999999588,我们支持发展中国家努力推动在消除贫穷、优质基础设施投资、性别平等、卫生、教育、农业、环境、能源和工业化等领域，及时实施可持续发展目标的进展，并使用一切实施手段，例如动员私营部门
160,0.443848161,技术部门资源和能力建设援助
161,0.999989762,我们重申继续支持二十国集团非洲伙伴关系，包括《与非洲契约》(CwA)，二十国集团成员国加强了双边接触，并加强了世界银行、非洲开发银行和国际货币基金组织在执行《公约》方面的作用，二十国集团关于支持非洲工业化的倡议和其他相关倡议有助于实现非洲联盟2063年议程中提出的非洲愿景
162,0.727372894,我们仍致力于解决非法资金流动问题，并将在今后的峰会上进行评估
163,0.999997341,我们重申我们致力于投资人力资本，促进人人享有包容性和公平质量的教育，正如二十国集团可持续发展人力资本投资倡议所强调的那样
164,0.999992655,认识到科学、技术和创新（STI）对可持续发展目标的重要性，我们赞同可持续发展目标发展路线图的指导原则
165,0.990937184,我们认识到进一步努力开展南北合作、南南合作和三角合作以及减少灾害风险（包括灾害风险融资和保险计划）的重要性，以此作为提高应对自然灾害的金融弹性的一种手段
166,0.991235298,我们将继续努力，实现国际发展协会第19次成功补充，以及非洲发展基金第15次补充
167,0.950615661,鉴于国际复兴开发银行和国际金融公司的作用日益扩大，我们呼吁全面、及时地实施其增资方案
168,0.750452374,全球健康
169,0.995404487,健康是可持续和包容性经济增长的先决条件
170,0.998422239,我们回顾了我们致力于根据国家背景和优先事项实现全民医疗保险的承诺
171,0.930839155,我们期待着联合国大会关于全民医疗保险的高级别会议(UHC)
172,0.996563802,初级卫生保健，包括获得药物、疫苗接种、营养、水和卫生设施、促进健康和预防疾病，是促进健康和包容性的基石
173,0.557663603,我们将加强以质量为重点的卫生系统，包括通过加强卫生人力资源和政策制定，促进公共和私营部门创新，例如经济有效和适当的数字和其他创新技术
174,0.000596009,认识到可持续筹资对健康的重要性，我们将呼吁卫生和财政当局根据第9号《二十国集团关于UHC融资在发展中国家重要性的共同理解》加强合作，对此，我们的财政和卫生部长在其联席会议上确认了我们的承诺
175,0.992298111,我们鼓励国际组织和所有利益攸关方进行有效合作，并期待即将发布的《全球健康生活和福祉行动计划》
176,0.999576944,我们将根据包括人口趋势在内的国家背景，通过促进健康、预防和控制传染病和非传染病的政策措施，以及以人为中心、多部门、社区为基础的综合健康和长期保健，促进健康和积极的老龄化
177,0.999744894,我们将实施一系列全面的政策来解决痴呆问题，包括促进降低风险和可持续提供长期护理，以及建立包容性社会，以提高痴呆患者和护理者的生活质量
178,0.999998446,我们致力于改善公共卫生准备和应对，包括按照世界卫生组织（世卫组织）国际卫生条例（2005年）加强我们自身的核心能力和支持其他国家的能力
179,0.527745672,我们将通过及时的财政和技术援助，并按照世卫组织对国际应对卫生紧急情况所承担的中央协调责任，支持当前爆发埃博拉疫情的非洲国家
180,0.93118584,我们将致力于全球卫生应急融资机制的可持续性和效率
181,0.807006316,我们重申我们致力于根除脊髓灰质炎，终止艾滋病、结核病和疟疾的流行，并期待第六次补充全球抗击艾滋病、结核病和疟疾基金的成功
182,0.948599523,我们将加快基于一种健康方法的抗菌素耐药性（AMR）的努力
183,0.307508537,我们认识到联合国秘书长关于AMR的报告，该报告是由联合国机构间AMR协调小组的建议和其他相关倡议提供的，我们鼓励包括国际组织在内的所有利益攸关方，在与其有关的项目上采取行动和协调，有助于全球打击AMR任务
184,0.32203692,我们认识到有必要采取政策措施预防感染，减少过度使用抗菌药物
185,0.207059351,应采取进一步行动，促进抗菌药物的管理和使用
186,0.957503532,注意到全球AMR研发中心正在进行的工作，我们将促进研发以应对AMR
187,0.001397897,我们呼吁有兴趣的20国集团成员和全球AMR研发中心分析推拉机制（译注：近似帮扶机制），以确定AMR研发的最佳模式，并向相关的20国集团部长汇报
188,0.89125063,全球环境问题和挑战
189,0.999999212,见于国际气候变化专门委员会（IPCC）和生物多样性和生态系统资源政府间科学政策平台（IPBES）的重要工作，以及最近的极端天气事件和灾害，我们认识到迫切需要解决复杂和紧迫的问题，应对全球问题和挑战，包括气候变化、资源效率、空气、土地、淡水和海洋污染，包括海洋塑料垃圾、生物多样性丧失、可持续消费和生产、城市环境质量和其他环境问题，以及促进和改善在促进可持续增长的同时，利用现有最好的科学，引领能源转型
190,0.991535362,如果通过创新加速环境和增长的良性循环，并且商业社区在与公共部门的协同作用中发挥重要作用，则需要进行范式转换
191,0.944646767,为此，我们强调了加快良性循环并引导转型为一个弹性、包容和可持续的未来的10个重要性
192,0.999764675,我们强调必须采取具体实际行动，从世界各地收集国际最佳实践和智慧，动员公共和私人金融、技术和投资，改善商业环境
193,0.220418032,气候变化
194,0.999994868,为此，我们努力促进可持续发展的包容性金融，包括公共和私人融资动员和协调，以及在低排放和弹性发展的广泛领域进行创新
195,0.118968945,包括非国家行为体在内的广泛参与的各级气候行动，将是实现这种范式转变的关键
196,0.999913634,为了进一步加强这一努力，我们将根据每个国家的情况，研究各种清洁技术和方法，包括智能城市、生态系统和社区方法、基于自然的解决方案以及传统和本土知识
197,0.999515441,我们需要加强努力，支持特别是最脆弱社区在适应和减少灾害风险方面的行动和合作，进一步阐述和促进缓解行动、适应措施、环境保护和弹性基础设施之间的一致性
198,0.019126545,我们注意到成功通过了《巴黎协定》执行准则，并在《联合国气候变化框架公约缔约方会议》（UNFCCC COP）上完成了塔拉诺对话的盘点，以及在卡鲁伊扎瓦举行的二十国集团能源和环境部长会议之后的成果
199,0.10315838,成功的20国集团布宜诺斯艾利斯峰会我们决心充分利用这一势头，从而期待联合国秘书长在智利圣地亚哥举行的气候行动峰会取得成功，并期待在《气候公约》第25届缔约方会议上取得具体成果
200,0.70659951,《巴黎协定》的签署国在布宜诺斯艾利斯确认了其不可撤销性，并决心执行该协定，重申其对全面执行该协定的承诺，反映了共同但有区别的责任和各自的能力，并考虑到不同的国家情况
201,0.900902448,到2020年，我们的目标是沟通、更新或维护国家数据中心，同时考虑到需要进一步的全球努力
202,0.444037101,我们强调必须根据《巴黎协定》提供财政资源，协助发展中国家减轻和适应气候变化
203,0.934532904,美国重申其决定退出《巴黎协定》，因为这对美国工人和纳税人不利
204,0.465471232,美国重申对促进经济增长、能源安全和准入以及环境保护的坚定承诺
205,0.237113423,美国在能源和环境方面的平衡方法允许向所有公民提供负担得起、可靠和安全的能源，同时利用所有能源和技术，包括清洁和先进的化石燃料和技术、可再生能源和民用核能，同时减少排放并促进经济增长
206,0.925914393,美国在减少排放方面是世界领先的
207,0.45921737,美国能源相关的二氧化碳排放量在2005年至2017年期间下降了14%，尽管美国经济增长了19.4%，主要是由于创新能源技术的开发和部署
208,0.957552765,美国仍致力于开发和部署先进技术，以继续减少排放并提供更清洁的环境
209,0.75,能量
210,0.005456241,我们认识到实现“3E+S”（Energy Security， Economic， Efficiency， and Environment +Safety；能源安全、经济、效率和环境+安全）的能源转型的重要性，以便尽快将我们的能源系统转变为负担得起的、可靠的、可持续的和低温室气体（GHG）排放系统，认识到国家实现这一目标的途径不同
211,0.000454655,回顾二十国集团能源转型和全球环境促进可持续增长部长级会议公报，我们承认所有能源和技术在能源组合中的作用，以及各国实现清洁能源系统的路径差异
212,0.267689015,我们还认识到，进一步开发创新为清洁和高效的能源转换技术发展提供了机遇——包括氢，以及根据国情发展情况后的碳捕获、利用和储存（CCU）技术，还注意到“碳回收”和“排放物价值”方面的工作
213,0.009596806,我们承认20国集团（G20）日本总统的倡议，即清洁能源技术研发20（RD20）
214,0.075917451,鉴于最近发生的突出关注能源安全流动的事件，我们认识到全球能源安全作为能源系统转型的指导原则之一的重要性，包括基础设施的恢复力、安全性和发展以及来自各种来源、供应商和路线的未中断的能源流动
215,0.00032797,我们认识到国际合作在各种能源相关问题上的价值，包括能源获取、负担能力和能源效率以及能源储存
216,0.853430209,我们重申我们在中期合理化和逐步取消鼓励浪费性消费的低效化石燃料补贴方面的共同承诺，同时为最贫困者提供有针对性的支持环境
217,0.99997333,38.我们认识到，通过循环经济、可持续材料管理、3Rs（reduce， reuse， recycle；减少、再利用、循环利用）和废物增值等政策和方法提高资源效率，有助于可持续发展目标（SDGs）的实现，并有助于应对各种环境挑战、增强竞争力和经济增长、管理资源
218,0.994929423,可持续发展，创造就业机会
219,0.995796107,我们鼓励与私营部门合作，推动冷却领域的创新
220,0.61082992,我们还将与利益相关者合作，以增加对再生产品的需求
221,0.830991034,我们期待在日本总统任期内制定二十国集团资源效率对话路线图
222,0.012805528,我们重申，所有国家都需要与相关利益攸关方合作，在国内和国际上采取措施处理海洋垃圾，特别是海洋塑料垃圾和微塑料
223,0.160276657,在这方面，我们决心迅速采取适当的国家行动，预防和显著减少向海洋排放塑料垃圾和微塑料
224,0.999609552,此外，展望这些倡议和每个成员国现有的行动，我们分享并呼吁国际社会的其他成员也分享“大阪蓝海愿景”，作为一个共同的全球愿景，我们的目标是通过一个全面的生命周期，在2050年将海洋塑料垃圾的额外污染减少到零
225,0.02076614,通过改进废物管理和创新解决方案，减少管理不当的塑料垃圾的排放，同时认识到塑料对社会的重要作用
226,0.542056014,我们还赞同20国集团关于海洋塑料垃圾行动的实施框架
227,0.877465409,由于非法、未报告和不受管制（IUU）捕鱼在世界许多地方仍然是对海洋可持续性的严重威胁，我们认识到解决IUU捕鱼问题对于确保海洋资源的可持续利用和保护包括生物多样性在内的海洋环境的重要性，并重申我们致力于终止IUU钓鱼
228,0.403065181,移民和难民
229,0.769595549,我们注意到经合组织与国际劳工组织、国际移民组织（IOM）和联合国难民事务高级专员（UNHCR）合作编写的《2019年国际移民和流离失所趋势与政策报告》
230,0.366364749,我们将在二十国集团继续就这些问题的各个方面进行对话
231,0.975179991,大规模难民流动是全球关注的人道主义、政治、社会和经济后果
232,0.997003163,我们强调共同行动的重要性，以解决流离失所的根源，并应对日益增长的人道主义需求
233,0.59126425,我们感谢日本担任其主席国，主办了一次成功的大阪峰会，并为二十国集团进程作出了贡献，我们期待着2020年在沙特阿拉伯、2021年在意大利和2022年在印度再次举行会议
234,0.162850306,部长声明和公报
235,0.238876249,2019年20国集团农业部长宣言（5月11日至12日）
236,0.020909616,20国集团贸易和数字经济部长级声明（6月8日至9日）
237,0.002105094,20国集团财长和央行行长会议公报（6月8日至9日）
238,0.002404262,20国集团能源转型和全球环境促进可持续增长部长级会议公报（6月15日至16日）
239,0.265598583,二十国集团工作组及其他文件
240,0.966186988,20国集团优质基础设施投资原则
241,0.766384395,为解决经济数字化带来的税务挑战制定一项共识解决方案的工作方案
242,0.998404667,20国集团福冈老龄化和金融包容性政策重点
243,0.880972178,拟议的全球金融包容伙伴关系（GPFI）工作计划
244,0.76433251,20国集团就特高压融资在发展中国家的重要性达成共识
245,0.05030745,二十国集团促进基础设施建设廉洁透明良好做法纲要
246,0.754648193,20国集团有效保护举报人的高水平原则
247,0.666505132,20国集团人工智能原则
248,0.879630328,20国集团国家工作中的妇女：进展与政策行动
249,0.994132174,20国集团人力资本投资促进可持续发展倡议
250,0.19085198,大阪《二十国集团2030年可持续发展议程行动计划》最新情况
