,0
11,"[9.3309555, -0.43430743, -2.8608038, 6.8912263, 1.2778554, 2.193912, -1.4534904, 1.8160633, -1.449278, 3.5862563, 0.15111479, 2.1891768, -6.0400057, -0.53528345, -0.31030613, -2.944668, -1.0570687, 0.7534787, -7.6090436, -1.592094, -0.82568413, -9.5570965, 1.474843, -2.5190246, 4.699012, -3.483356, -3.0007982, -5.705063, 5.3106275, -6.1735396, 5.4611707, -2.9318578, -1.243709, 1.7679517, -0.9301594, 0.6748005, 0.55668867, 1.5400281, 0.24141794, 0.43782446, 1.5309026, 0.303913, 2.1534257, -0.13122898, -3.4635916, -4.091757, -2.8343701, 0.41020092, -2.7930045, -4.982094, 0.52178407, 3.7722316, 4.2360992, -2.7952383, -2.5708618, -1.1652093, 0.16041629, 1.9105339, 2.4343626, 2.9355662, 1.010427, -2.0238688, -8.3818035, -4.8199716, -1.099151, -2.2937279, 2.7064342, -2.349986, 2.0416555, -2.0194592, -0.73808825, 0.6363562, -5.2350917, 6.5479507, -1.623523, -2.982517, 5.783399, 1.5800561, 0.85534286, -1.5075005, 2.3513374, 1.0293772, 2.1131938, 3.0788376, 3.3294096, -2.97424, 1.7472502, 3.7612882, -1.2449813, 5.5005093, -4.4752913, -2.5885189, -0.986598, -2.343493, 3.2297368, 2.5712392, -7.781625, -3.8049877, 0.07660804, -1.643432]"
12,"[-4.9752836, -2.8040042, 2.5929925, 4.3276124, 4.060821, 1.4467237, -0.210997, -1.296105, 2.9782987, 0.93178964, 0.85547745, -0.74363315, 0.26294076, 0.96197635, -1.2335805, 2.4464784, -1.427129, 1.5884293, -1.4701352, 2.2539244, 1.8594041, -3.7795675, 3.5964704, 4.4355254, 0.86403394, -2.462787, 0.08159865, 3.98728, 5.0410624, -2.5913353, 2.2479184, -0.3773672, 0.48794624, 2.245086, 1.0873629, 5.6008143, 3.6748538, -2.8301253, -1.7167997, 1.0122234, -1.8420701, 2.9591334, 2.391761, -0.9725391, -8.448512, 5.071453, -1.2022562, -1.5023578, 0.52051336, 5.847211, 0.23909076, -3.1228404, 1.1434174, -0.1168367, -5.2624483, 0.2557854, 2.731737, -1.3809376, 0.8181939, 4.990204, -1.6942058, 3.4256275, -4.326307, -0.5267286, -2.1606834, 6.1475024, 3.7655375, 2.4471035, 2.291973, -4.9253883, 1.3379974, 2.0699148, 1.8578556, 0.71475923, -7.748919, 0.25212997, -0.76455706, 3.1000977, 1.6449656, 3.1449184, 4.8972764, -4.537303, -0.66813666, 1.7568814, 1.7669566, -1.340117, 3.5778787, -1.2850084, -1.6458473, 0.1303072, -2.6686454, -0.9197801, 1.3456359, -2.9610643, 2.9299598, 0.7620946, -5.3171244, 0.38158447, 1.1666281, 2.2018588]"
13,"[-3.5646024, 2.3689942, -3.7255216, -1.4095478, -0.18117219, 0.02266748, -6.061801, -0.7078931, 1.2973467, 3.4663773, -0.22909428, 4.732244, 0.40857074, 0.97469693, -1.4625628, 2.8634653, -6.76397, -1.0291492, -4.8883767, -0.29443482, 4.0220757, -1.543478, 3.2923086, 1.406041, -0.07901164, -2.0125692, -5.756673, 2.366326, -2.4653983, -1.9907176, 7.058955, -3.938603, 2.6632879, -2.6641276, 2.1007082, -7.0515094, -4.558208, -5.1565785, 2.131171, 1.77804, -0.1418652, 0.12298064, -0.03949558, -4.9542694, -2.4544868, 3.7142432, 1.2259399, -0.7267878, -0.29857698, 5.8174295, 1.6925893, -2.5286446, -2.39958, 1.9525787, 0.53779656, -1.5144309, 0.54674643, 0.7036979, 0.53426814, 1.2236601, 2.4978464, 0.48524863, -2.2976732, 0.14622363, -1.5516791, -1.6324842, -0.1318482, 5.39716, -4.4130177, 0.64539474, 3.717502, -0.32525253, -2.599155, 0.33127928, -1.2260991, -3.1829908, 2.7089734, -1.272127, -1.2395743, -4.853387, -4.344461, -1.3160286, -0.06595294, -1.8755971, -4.4004784, 0.13972297, -1.1595824, 3.4453652, -1.6825608, 1.9464132, 0.35949275, 0.19347209, -1.751766, 0.85422117, 4.7948747, 4.0802073, 4.8561883, -2.9240499, -1.352349, 0.12700719]"
14,-1
15,-1
16,"[0.61338353, 3.3431354, -4.0601683, -2.382756, -7.394001, -0.84865737, -2.6679893, -4.7474723, -3.898925, 5.078761, -1.0875006, -0.25217924, -2.98759, 0.2516939, 0.63386077, -0.98965055, -2.682638, -1.0961089, -5.5666733, -4.1891155, 5.2995725, -3.277467, -0.57416284, 2.5643582, 0.30108005, -2.6288834, -6.1884985, -0.32763964, 2.5265129, -6.0004334, 1.2873217, -2.494544, 1.996864, -0.5891895, -0.1903169, -6.792004, 4.044957, -2.3064198, -1.2139937, -4.302698, 0.39008594, -2.7512374, -0.62802494, -2.3186142, -8.129899, 3.1698313, -0.025752833, 0.058967493, 0.5191111, 3.7789445, 1.9756788, 2.4713054, 2.193409, -1.3067598, 1.276414, -3.0595155, -1.9340379, 0.31289428, 2.6787877, -2.2317688, 4.0693173, 1.569547, -0.75090194, 0.2322355, -1.6386148, -3.2088423, 2.7862232, 2.7710595, -3.711318, -7.528651, 2.6844192, -0.09601126, -5.543742, 0.034871303, -5.6857214, -1.5870142, 3.4576652, -0.25491342, 1.6316763, 0.065737806, -1.5429825, -4.976652, -1.89008, 0.45023304, 2.2271025, 2.5620177, -2.6414354, -0.040581048, -0.37994796, 2.8215587, -3.252809, 0.957044, -3.113427, -2.3487425, 4.011749, 4.85974, 2.9629931, -1.7864106, -0.6463348, 1.8233343]"
17,-1
18,-1
19,"[-1.3970038, -3.4151735, 0.1601532, 3.4866552, 2.645208, 4.4627748, -3.067457, -3.3848984, 6.4001374, -1.3062528, 0.5644347, -1.9629899, 4.5314627, 0.31691873, -1.0933487, -0.4508525, -6.1853514, -1.9314178, -3.4419205, -0.70831424, 0.7765883, -1.8399345, -4.493219, 3.8247592, 3.681374, -1.9160597, -6.2894692, -2.841731, 5.055235, -0.7197482, 3.4618704, -4.8577003, 3.1591203, 1.8744394, 1.3350085, 1.2465818, -1.6169584, 0.88071656, 1.2845728, 0.75270295, 1.0984577, -0.43842372, 0.43167648, -4.1566396, -5.635023, 4.8662176, -3.461105, -0.7414864, 2.9272037, 5.158662, -0.27338955, 3.0314562, -0.7943259, 2.9176896, -0.312132, -1.1294163, 2.467796, 0.6160085, 0.97146606, 1.370505, 0.20958549, 3.0292077, -3.9019716, -3.807815, 3.3433888, 6.7086277, 4.8033895, 1.4065217, -0.356116, -2.1125808, 2.8737392, -1.6776184, -1.9634861, -0.32128656, -1.7326466, 2.388301, 4.4871182, -0.942116, 1.8604084, 0.12893236, -0.06966326, -5.963256, 1.7114561, 0.30457366, 1.987373, 1.3886136, 3.6883848, 3.2089064, -0.45716715, 2.3174777, -2.0285592, 5.85833, -0.93070024, -4.3079143, 6.6657524, 3.5368488, -1.8497825, 0.4333205, 0.9562302, 3.6817224]"
20,"[-0.14195465, -7.676666, -4.148646, 0.7869452, 4.3562703, 3.6870492, -2.8045125, -0.32043618, 0.33135924, 2.0481308, 1.078405, -0.0459152, -4.57008, 0.43854666, 1.7150623, -3.6381323, 0.37717596, 2.7312431, -0.24733244, -1.2488692, 2.0686305, -1.1322106, 2.4273112, 4.039533, 5.8087387, -3.7927673, -7.4320674, -1.0595758, 3.2374754, -3.417638, -1.028709, -1.4962591, -1.9252542, -3.5457506, -1.088695, -3.1461868, 1.4572841, -2.3892484, 0.0539512, -3.4664128, 2.948514, 2.0656502, -3.3339136, -3.8192995, -1.7099984, -0.41669893, 0.81450224, 1.8967355, -0.34515947, 3.0510917, -1.2697408, 1.9908923, 1.3998089, 1.0419483, 0.5676671, 3.90621, 1.4986372, 0.58119583, 1.3908106, -0.4056833, 0.84853226, 2.8218622, -0.8188352, -2.762022, -3.0674837, 0.77759695, 2.8646789, -4.8082876, -2.8655484, 1.977936, 2.4019663, 0.28046152, -2.583954, 3.4823334, -2.914196, -8.491531, 4.0082445, -0.773186, -2.7966506, -4.5519676, -2.767368, 1.6911634, 4.515408, -0.7928114, -1.984129, 2.5051062, -2.0210454, -0.9157284, 1.8466034, -0.93916506, -2.182726, 0.9866077, 1.1386397, -0.14739972, 2.9407136, -1.459306, 1.9439704, -3.8298247, 0.18008843, -0.6190514]"
21,"[4.693618, 2.502121, -2.6489854, 7.6369176, 2.3871155, 0.4176756, -1.9550107, -3.1919034, 1.616833, 1.25622, -0.9778836, 3.1169446, -3.5621557, -3.5443182, 0.84097207, 0.12598304, 1.5071294, 3.6548927, -3.892647, -4.4025874, -3.285043, -1.408677, -1.1110456, 2.7088196, 3.3106778, -1.5272782, -6.3712406, -3.961134, 3.1506262, -0.8919239, 2.3691082, -0.5184814, 2.0525634, 0.9690302, 0.2544982, -2.0083492, 1.1003071, -4.892114, -5.6016264, 2.1603842, 1.1699924, 7.350452, -0.9957521, -3.2032313, -2.938035, 1.5702486, 0.1518204, -1.277622, 0.3918707, 0.27492616, -0.43583837, -2.706969, 4.5412908, -1.5167296, 1.2720325, -0.1933449, 4.865043, 0.4153657, 4.982038, 3.1834676, 2.847116, 1.9317211, -6.876505, 1.2075528, -0.2868009, 2.6593423, 3.2952924, 1.1528013, 0.46428093, 1.536546, 2.4514456, -3.6623595, 0.095753476, 7.3847237, -2.8638692, -0.4823915, 1.3891051, 0.16637142, -1.2546645, -2.1886158, 1.3661548, -1.6531935, 0.011895757, 2.2081258, -0.5731859, 1.2915732, -6.681936, 3.054252, -2.1418326, 7.532203, -6.457562, 0.68871605, 4.3284516, 2.4047952, 1.0638404, 4.3919363, 4.8629723, 0.077796884, -2.1203, -0.35231692]"
22,"[1.4383206, -1.359126, 1.244145, 0.30832955, -1.5908679, 5.031169, 0.48385403, 1.5074142, 1.9337606, 3.213655, -1.3750055, 1.1065289, 2.7037187, -0.3748839, 0.27657542, -0.12396155, 0.96636117, -2.1995854, 2.161821, -0.20466807, 3.2857509, 0.53257906, -3.5607355, 3.1093392, 1.7910128, 4.013352, -3.698255, 0.17551994, 2.4310746, 0.28995618, 1.5090492, 0.63689023, 3.9253206, -0.98317724, -3.8274505, -1.4332938, 0.3744785, 1.901113, -3.9484112, -2.5215597, -1.0154573, -0.4991373, -2.465257, 0.29388267, -2.2262626, 0.23773323, 2.3661628, -5.1356673, -3.92322, -0.31618598, 3.2333164, -1.2942975, 4.5504165, 2.6621175, 3.1939037, -0.22548065, -2.894009, -2.401205, 2.2164044, 3.6947696, -0.18866614, 1.3178235, 0.9994683, -2.2517476, -1.6810379, 2.1492798, 4.1129155, -2.4298937, -2.7367814, -0.41073522, 2.8634481, 1.3482437, -0.8736692, 1.1624979, -1.9689404, 1.2654538, 2.6520324, 2.8346107, 1.9151471, -1.3814843, 0.28822553, 0.83674365, 0.31078222, 1.8920169, 1.8676146, -1.3343103, -0.96542066, 4.4791756, -0.5702579, 1.8219814, -2.272592, 0.9933852, 4.405939, -3.62753, -0.73253727, 0.21892416, -5.661559, -3.0892575, 0.9215038, 3.9838789]"
23,-1
24,"[-1.9680128, -2.4343271, -5.265507, 8.549038, -1.6478739, -2.232183, -2.1613019, -5.7863197, 5.598112, 1.0280772, -0.2248948, 3.240479, -5.1400843, -0.53605515, 1.0483932, 1.0829442, -3.9370189, 0.50587773, -7.4602313, -4.0057, -0.7431535, 1.1148804, -2.6168652, 4.1006246, 3.3826275, -1.60297, -5.3414493, -4.364629, 0.30509573, -0.45147648, 2.8537319, -8.254785, 1.6694176, 6.9661264, 5.006373, -3.5027692, -2.2760792, -3.6407175, 4.016509, -2.6630254, -3.5366187, 0.16092293, -2.3898091, -7.687154, -5.290043, 3.5262225, -3.7734818, 2.3569562, 2.8998723, 2.1830578, -1.8455746, 2.783162, 1.2835476, 1.9624336, 2.0773501, -1.0442331, -2.8439076, -4.001308, 3.2021174, 2.4863396, 2.8424988, 0.42972857, -3.0767548, 1.4276158, -2.34193, -0.94089895, 1.4866581, 4.520561, 1.2548825, -4.262666, 1.2323111, -5.817056, -1.9156214, -1.2759354, -2.0591457, -1.5543392, 1.5069414, 0.6313578, -1.7470406, -3.2896297, -4.2749596, -4.682411, -2.404516, -1.3669292, 3.0544903, -3.1065235, 2.2023711, 8.1206455, -1.718597, 9.30068, -0.50166637, 0.81506026, -1.8182682, 0.8096801, 5.09299, 3.2555363, 0.2932642, -4.4876847, 3.3160272, -0.51160616]"
25,-1
26,"[-1.9344852, -4.9653187, 0.047345463, 2.4514782, -1.8213503, 6.005377, -0.6061706, -2.3243234, 2.8561385, 0.090868674, -0.06789026, -1.6150576, -0.23499347, -0.14196254, -0.16543128, 1.0701005, 1.3629963, -0.6015063, -1.1359206, 4.376775, 1.2502381, -1.9521182, 5.4742713, 1.2690161, 0.907089, 1.7304268, -1.157615, -3.7498388, 0.16913587, -7.7046595, 2.6927822, 1.5841948, -3.0585592, 5.169805, 1.4606032, -1.7436016, 3.9872696, -5.1123233, -5.46804, 2.929392, 0.036821563, 2.5067594, -2.1216354, -0.03977226, -3.0753815, 0.24488096, -0.11144794, -2.0110192, 0.922766, 5.995945, -3.0105054, -4.741961, 1.155286, -0.8745659, -5.196885, 1.8031799, 2.5442157, -4.334177, 2.8610477, -2.2556205, -5.281589, -2.0013952, -3.6122248, -4.1648583, 2.193167, 4.8461432, -2.3472178, -0.6297214, 0.9834142, -2.2787333, 0.5481695, -0.8553608, 3.083704, 0.9326685, 0.34621686, 2.2030942, 3.219951, 3.5396168, 2.2498136, 1.5146234, -2.452129, -0.7384312, -2.833364, -2.7403572, -4.214932, -1.8540719, 1.9237075, -1.0481662, -0.63760334, -3.2449915, -4.180233, -2.9423847, -0.78229475, 2.7173882, 2.137915, 0.6942573, 3.5532959, 2.1160464, 4.592276, 1.9181898]"
27,"[0.7188452, -2.174769, 1.9530488, 3.274642, 2.77681, -1.4891362, -1.7810663, 0.7867132, 1.6855851, 5.917674, -1.1253695, 3.155658, -2.7114944, -1.4376249, -0.60941803, -2.2024515, 0.95623195, 1.4026222, -5.673646, -2.9473925, -0.29011443, -4.6624923, 0.8205272, 5.125094, -0.20172065, -1.9786587, -3.8548605, -3.643196, 0.66817784, -0.401646, 7.404556, -3.2288048, 1.3158396, 3.7531679, 3.6930153, 1.5869958, 1.5534756, -7.1376905, -3.7351627, 1.3844693, 4.498785, 4.7286153, -0.4051905, -3.0435033, -8.006714, 0.33300263, -2.3685517, 1.1403186, -0.012976808, -1.7592236, -1.3485125, -1.4587526, 4.204029, -4.005571, 2.976274, -1.2408886, 4.1909604, 0.15093125, 4.763689, 7.523302, -0.20079455, 1.5827984, -7.2919207, -1.847449, 0.26599348, 3.9562569, 2.1641839, 0.6254463, 2.1468155, -0.78164876, 8.065868, -4.110306, -2.7598135, 4.4299197, -4.2176714, -1.8671532, 2.4134462, 3.5552013, -1.986417, -1.251341, 2.2973733, -1.0612245, 2.4825249, 2.369357, -0.9248685, 0.31955042, -0.5045761, 3.4912689, -2.154516, 4.7357426, -2.2714734, 1.6347873, 3.603156, -3.1568882, 1.0926869, 3.174747, -1.7115135, 0.18714955, 0.43042558, 0.5523169]"
28,"[-5.100355, -2.1641865, 2.035132, 8.647966, 0.33492443, 2.2499893, -0.85464853, 0.20256771, 3.3476655, 8.641268, -7.159709, 3.265789, -0.40372324, -4.028428, 3.2847757, 1.6851739, -3.7128475, -2.4275608, -5.948942, -4.463726, -1.1603688, -5.041397, -0.37259227, 0.9105394, 6.439832, -2.754982, -0.71814436, -4.364998, -0.6226001, 0.64232975, 6.0632467, -8.060085, 2.264081, 2.6871424, -0.26787227, 1.101492, -2.8216286, -2.4916604, -3.7415533, -0.07246893, -3.263774, 0.5063416, -1.2766917, -0.3379397, -2.863507, 0.6793395, -2.644401, 2.1321788, -2.0244544, 2.258824, -1.1781412, 2.0862167, 0.8737025, -2.411686, -1.6123062, 6.434303, -1.3023008, -6.038269, 0.94858456, 2.2084255, -5.330085, 1.1245782, -3.5367587, 0.05270806, 0.06560388, 2.383526, -1.17114, 0.074072964, -0.9420489, -3.6566112, 1.6893343, -5.2469344, -8.948701, 1.0946211, -0.580204, -0.13574585, 1.7711321, -0.17156024, -1.682875, -2.580773, -2.7174132, 0.047719922, -3.0985184, -1.2997197, -0.18485112, -4.021141, 1.2477634, 1.4313104, -3.4853003, 1.0472814, -3.527009, 2.4303467, -0.23232669, 2.2950335, -0.3456488, -0.505119, -2.8503976, -0.5605586, -5.0752435, -6.1962523]"
29,"[-6.227518, -2.798235, -1.2945502, 3.9695625, 3.8988297, 0.8987015, 3.6350493, 1.2907064, -2.7082283, 0.97680783, 1.387738, 4.733802, -2.213056, -0.5255283, 5.761748, -4.1010933, -3.1211994, -2.0565336, -4.4888835, 0.88126653, 1.5533527, -1.3486811, 2.4896033, -2.9270604, 4.8811903, -0.33376554, -1.7961323, -1.6594993, 1.742973, -8.32278, -0.20690167, -5.2547793, -2.7802408, -1.0401709, -0.19705147, 1.5805246, -6.7861905, -0.76936865, -0.61676264, -0.18489993, -0.29071057, -0.617058, -2.4246616, -0.15021846, -9.325001, 4.4660535, -1.8234693, 3.7311203, 1.905726, -0.41065726, 1.2799772, -0.10322577, -0.63203317, -1.1998069, -1.9571934, -4.541734, 1.087062, -2.043702, -0.023249734, -0.50750744, -0.66253984, 0.013711875, -2.896604, -0.23935232, 0.13125473, 7.2862344, 3.3921955, -4.7166004, 0.90101516, -5.7771688, 0.333276, -2.1432633, 0.7268823, 3.1398194, -3.6537023, 0.012039488, 5.3676853, -8.507171, 1.5723214, -3.6866078, 2.876074, 0.9912777, -1.5940984, 1.7140337, 1.3685462, -0.78677094, 5.864069, 0.57642555, 0.41410697, 7.99841, -4.116204, 1.1476877, -4.874771, -0.6467013, 0.92206043, 1.5155083, -5.347115, -3.0991762, 2.5930965, -3.2913408]"
30,"[-2.301316, 0.78554213, -4.8983927, 1.162585, 1.2722132, 4.740319, -1.5624123, 2.8219032, 3.1343102, -2.6041143, 0.52488524, 4.1823616, 10.261199, -1.4703122, 2.5459502, 4.4296227, -0.77649516, 3.6807323, -4.1926675, 1.9722263, 2.5368056, -4.261061, 3.775325, 4.5612893, -1.6629001, 0.87047714, -1.1169286, -4.9476166, -0.10963621, -8.228673, 5.7437825, -4.0030956, -1.0665287, 2.8793907, 5.2101936, 0.13339823, 2.541461, -7.178404, -6.4179754, 2.9047883, 2.442223, 0.48063263, -1.8059896, 1.3547161, -5.0569863, -1.4391401, -1.2212054, 1.0221177, 1.8909074, 9.792109, -1.6184458, -5.127557, -0.2779493, -2.8187704, -1.432816, 0.13429217, 5.600372, -4.3907037, 0.3818258, -0.5643192, -1.9502892, -3.606427, -8.467464, -4.027511, -0.016415952, 2.4722111, -0.8237164, 3.6890898, 2.6124187, -4.5375595, 1.2552993, 1.10628, 5.4252453, -0.80831945, -7.7820153, 4.2836647, 4.5221343, -0.56817317, 2.9791, 0.46126926, -0.38213634, -5.3561697, 2.0182405, -3.1493552, -4.7385745, -3.3941762, 3.5737464, 2.7769184, -3.5421798, -6.604052, 1.4893785, -1.7044601, 3.0976396, 0.69792026, 1.4012933, 3.2067587, -3.8593028, -3.5389671, 4.3308806, 5.08495]"
31,"[2.3189073, -3.7406886, -4.2413707, 7.806344, -0.6949552, -3.0789893, 2.45931, -7.166306, 4.6388483, 2.512124, -0.31643423, 1.8400259, -5.5549984, -2.5014868, -0.18523307, 0.56022346, -0.8888257, 3.3511956, -8.686686, -3.8638802, -0.31863886, -4.9829965, -1.0049323, -0.02654439, -3.1326723, -1.3886061, -6.7690454, -3.0934746, 1.5866897, -4.7397494, 2.7272024, -4.747513, 5.2279005, 3.44515, 7.3358984, -4.496584, 2.3547175, -0.54651177, 3.4415522, 5.3296385, -3.9254642, -0.5125293, 0.3979765, -2.3195767, -1.2871621, 1.8462062, -4.1830697, 1.0976983, 3.4977293, 1.8191603, -4.961179, 3.853665, 2.965753, -0.38858676, -1.5886728, -0.6481243, -1.4444935, -1.0061662, 1.8053186, -3.3018398, 4.5467362, -1.1633122, -3.5377276, -0.16615555, -5.46852, -5.1710258, 5.8797517, -0.09201332, 0.2675145, -3.1201856, 1.2204864, -0.96296495, -5.1900506, 2.3425262, -1.2933012, 0.25478622, 3.7933478, 3.162523, 1.5147953, -2.1407712, -5.1568885, -2.7542253, -4.5694823, -1.6712276, -2.4464457, 2.7123973, -2.5916595, 6.3082466, -1.5999084, 5.36268, -1.7668557, -1.8075798, -0.6817877, -1.2806771, 4.2197127, 2.73921, -5.0397234, -1.8315209, 4.176576, -0.70481765]"
32,"[-2.3619514, 1.3956608, 2.1065042, 0.45917752, -0.6160592, 1.2983658, -6.346803, 4.8890195, -1.8264067, 1.0225426, 2.916443, 5.4764853, 0.6313901, -3.2872472, -1.3727545, 3.0838144, -2.0802088, 4.712536, -2.3912337, -2.189945, 0.81212705, -0.61931604, 2.9929333, 3.8581574, 2.3738832, -1.5438635, -1.1010758, 2.619507, 2.6852286, -0.5946431, 5.229721, -4.3307047, -1.4896537, -1.2261614, -0.8258673, -5.103178, 3.552748, -0.75219876, 2.4458861, -3.865209, 5.9727144, 0.77223283, -1.4493202, 1.2346436, -7.383066, 0.728961, -0.6004459, 1.0026618, 1.1428074, 2.013781, -0.7313046, -3.3076265, 3.401706, -2.692697, -4.2706, -3.933916, -1.202255, -2.2137468, 2.0576608, 3.2878976, 2.551428, -1.229806, -3.8030043, 0.1437011, -6.689821, -0.6756994, 4.05318, 1.8447837, 0.48747575, -1.5413238, -0.4111868, 5.5935183, -1.592293, 4.6632075, -5.2103853, -2.4234467, 3.9127264, 7.5629435, 0.84592724, -0.30332845, 3.580338, 0.6557437, -1.3046886, 0.87833935, 1.6774743, -1.3624122, 1.0984212, 4.375715, -3.6787572, 2.528556, -0.18726845, -5.0350485, -3.2999978, -4.805471, -2.256333, 3.749704, -0.8863355, -1.9654443, 1.0746489, -1.4792284]"
33,-1
34,-1
