,0,1
422,['尤其'],['d']
423,['准备'],['v']
424,['15'],['m']
425,['2013'],['m']
426,['2015'],['m']
427,['脆弱'],['a']
428,['第'],['m']
429,['负责'],['v']
430,['提升'],['v']
431,['系统性'],['n']
432,['主席国'],['n']
433,['做'],['v']
434,['20'],['m']
435,['巴塞尔'],['nr']
436,['不同'],['a']
437,['产品'],['n']
438,['刺激'],['v']
439,['范围'],['n']
440,['加快'],['v']
441,['交易'],['n']
442,['跨境'],['n']
443,['灵活'],['a']
444,['仍'],['zg']
445,['审慎'],['a']
446,['体制'],['n']
447,['下次'],['t']
448,['消费者'],['n']
449,['至'],['p']
450,['最佳'],['z']
451,['最终'],['d']
452,['7'],['x']
453,['变化'],['vn']
454,['表示'],['v']
455,['动员'],['n']
456,['非'],['h']
457,['各方'],['r']
458,['宏观经济'],['n']
459,['会计准则'],['n']
460,['及时'],['c']
461,['价格'],['n']
462,['今年'],['t']
463,['世界贸易组织'],['nt']
464,['他'],['r']
465,['限制'],['v']
466,['以下'],['f']
467,['旨在'],['v']
468,['作出'],['v']
469,['出口'],['vn']
470,['处置'],['v']
471,['地区'],['n']
472,['方案'],['n']
473,['分析'],['vn']
474,['货币政策'],['n']
475,['机会'],['n']
476,['结果'],['n']
477,['能够'],['v']
478,['认为'],['v']
479,['韧性'],['n']
480,['失衡'],['a']
481,['迅速'],['ad']
482,['一次'],['m']
483,['一系列'],['m']
484,['亿美元'],['m']
485,['预防'],['v']
486,['正'],['d']
487,['转移'],['v']
488,['做出'],['v']
489,['2018'],['m']
490,['补贴'],['n']
491,['不能'],['v']
492,['充分'],['ad']
493,['存在'],['v']
494,['多哈'],['nrt']
495,['富有'],['v']
496,['积极'],['ad']
497,['劳动'],['vn']
498,['美国'],['ns']
499,['批准'],['v']
500,['潜力'],['n']
501,['潜在'],['t']
502,['全球化'],['n']
503,['商品'],['n']
504,['维护'],['v']
505,['卫生'],['an']
506,['形成'],['v']
507,['由'],['p']
508,['造成'],['v']
509,['2014'],['m']
510,['采取措施'],['nr']
511,['成为'],['v']
512,['次'],['q']
513,['导致'],['v']
514,['发达'],['v']
515,['机遇'],['n']
516,['利用'],['n']
517,['任'],['r']
518,['世行'],['n']
519,['稳健'],['a']
520,['8'],['x']
521,['产生'],['n']
522,['场外'],['s']
523,['出现'],['v']
524,['方'],['n']
525,['符合'],['v']
526,['共同努力'],['l']
527,['化石'],['n']
528,['减贫'],['v']
529,['金融危机'],['n']
530,['联合'],['v']
531,['粮食'],['n']
532,['能效'],['n']
533,['平台'],['n']
534,['商业'],['n']
535,['双边'],['n']
536,['效率'],['n']
537,['形式'],['n']
538,['移民'],['n']
539,['之'],['u']
540,['之间'],['f']
541,['中国'],['ns']
542,['14'],['m']
543,['19'],['m']
544,['不足'],['a']
545,['差距'],['n']
546,['充足'],['a']
547,['从而'],['c']
548,['代表性'],['n']
549,['定期'],['vn']
550,['兑现'],['v']
551,['多边贸易'],['l']
552,['多伦多'],['nrt']
553,['防止'],['v']
554,['巩固'],['v']
555,"['核', '可']","['n', 'v']"
556,['近期'],['t']
557,['评级'],['vn']
558,['千年'],['m']
559,['认可'],['v']
560,['日本'],['ns']
561,['生产力'],['n']
562,['圣彼得堡'],['ns']
563,['失业'],['n']
564,['石油'],['n']
565,['显著'],['a']
566,['协定'],['v']
567,['严重'],['a']
568,['一部分'],['m']
569,['以来'],['f']
570,['因素'],['n']
571,['有利于'],['v']
572,['转型'],['n']
573,['做法'],['v']
574,['16'],['m']
575,['按照'],['p']
576,['发布'],['v']
577,['繁荣'],['a']
578,['核准'],['n']
579,['良好'],['a']
580,['履行'],['v']
581,['民众'],['n']
582,['墨西哥'],['ns']
583,['全球性'],['n']
584,['燃料'],['n']
585,['设立'],['v']
586,['条件'],['n']
587,['统一'],['vn']
588,['效应'],['n']
589,['雄心'],['n']
590,['许多'],['m']
591,['寻求'],['v']
592,['逐步'],['d']
593,['最大'],['a']
594,['巴黎'],['ns']
595,['诚信'],['nz']
596,['大幅'],['d']
597,['敦促'],['v']
598,['法律'],['n']
599,['感谢'],['v']
600,['高'],['a']
601,['规模'],['n']
602,['会'],['v']
603,['贿赂'],['v']
604,['间'],['f']
605,['经验'],['n']
606,['跨年度'],['n']
607,['明确'],['ad']
608,['期间'],['f']
609,['人民'],['n']
610,"['日', '至']","['m', 'p']"
611,['生产'],['vn']
612,['识别'],['v']
613,['收入'],['v']
614,['缩小'],['v']
615,['问责'],['nz']
616,['拥有'],['v']
617,['运行'],['v']
618,['再次'],['d']
619,['政策措施'],['n']
620,['重大'],['a']
621,['2009'],['m']
622,['2030'],['m']
623,['把'],['p']
624,['财政部长'],['n']
625,['层面'],['n']
626,['此'],['zg']
627,['得到'],['v']
628,['反对'],['d']
629,['改进'],['v']
630,['基金组织'],['nt']
631,['加入'],['v']
632,['价值'],['n']
633,['价值链'],['n']
634,['可以'],['c']
635,['匹兹堡'],['ns']
636,['气候'],['n']
637,['取消'],['v']
638,['通信'],['j']
639,['维持'],['v']
640,['信用'],['n']
641,['形势'],['n']
642,['一'],['m']
643,['一致性'],['n']
644,['影子'],['n']
645,['再'],['d']
646,['之前'],['f']
647,['18'],['m']
648,['31'],['m']
649,['2016'],['m']
650,['安全网'],['nz']
651,['补充'],['v']
652,['不断'],['d']
653,['财政政策'],['n']
654,['冲击'],['vn']
655,['脆弱性'],['n']
656,['大会'],['n']
657,['高级'],['b']
658,['公司'],['n']
659,['关键作用'],['n']
660,['关系'],['n']
661,['国际标准'],['n']
662,['坚定'],['a']
663,['检查'],['vn']
664,['金融服务'],['n']
665,['均'],['d']
666,['可及'],['c']
667,['利润'],['n']
668,['廉洁'],['a']
669,['贸发'],['vn']
670,['年前'],['t']
671,['欧元区'],['ns']
672,['贫困人口'],['n']
673,['其中'],['r']
674,['前景'],['n']
675,['任何'],['r']
676,['如'],['v']
677,['适应'],['v']
678,['同行'],['j']
679,['一体化'],['l']
680,['账户'],['n']
681,['召开'],['v']
682,['针对'],['p']
683,['整顿'],['m']
684,['政治'],['n']
685,['指导'],['n']
686,['指南'],['n']
687,['质量'],['n']
688,['主席'],['n']
689,['组成'],['v']
690,['遵守'],['v']
691,['13'],['m']
692,['21'],['m']
693,['26'],['m']
694,['2008'],['m']
695,['程序'],['n']
696,['创新型'],['n']
697,['风险管理'],['n']
698,['个'],['q']
699,['各种'],['r']
700,['给'],['p']
701,['更新'],['d']
702,['公报'],['n']
703,['公开'],['ad']
704,['公式'],['n']
705,['官员'],['n']
706,['规划'],['n']
707,['合作伙伴'],['n']
708,['回合'],['v']
709,['加大'],['v']
710,['流离失所'],['n']
711,['女性'],['n']
712,['且'],['zg']
713,['取得成功'],['i']
714,['全面落实'],['i']
715,['损失'],['n']
716,['探讨'],['v']
717,['投资者'],['n']
718,['完全'],['ad']
719,['威胁'],['vn']
720,['为了'],['p']
721,['协商'],['n']
722,['已有'],['v']
723,['以便'],['c']
724,['证监会'],['j']
725,['自动'],['vn']
726,['24'],['m']
727,['25'],['m']
728,['本国'],['r']
729,['此外'],['c']
730,['大规模'],['b']
731,['担任'],['v']
732,['得以'],['v']
733,['短期'],['b']
734,['工商'],['n']
735,['公共财政'],['nt']
736,['过程'],['n']
737,['海洋'],['ns']
738,['韩国'],['ns']
739,['活力'],['n']
740,['竞争'],['vn']
741,['开始'],['v']
742,['快速'],['d']
743,['例如'],['v']
744,['灵活性'],['n']
745,['满足'],['v']
746,['那些'],['r']
747,['披露'],['v']
748,['贫穷'],['a']
749,['清算'],['v']
750,['人道主义'],['n']
751,['如果'],['c']
752,['税基'],['n']
753,['条款'],['n']
754,['外部'],['f']
755,['现代化'],['vn']
756,['协助'],['v']
757,['一步'],['m']
758,['一切'],['r']
759,['依然'],['d']
760,['有力'],['n']
761,['赞赏'],['v']
762,['职能'],['n']
763,['至少'],['d']
764,['中心'],['n']
765,['综合'],['nz']
766,['尊重'],['a']
767,['17'],['m']
768,['27'],['m']
769,['29'],['m']
770,['30'],['m']
771,['2019'],['m']
772,['保障'],['v']
773,['被'],['p']
774,['便利化'],['v']
775,['部分'],['n']
776,['筹集'],['v']
777,['抵御'],['v']
778,['缔约方'],['n']
779,['动力'],['nz']
780,['独立'],['v']
781,['额外'],['b']
782,['发起'],['v']
783,['反洗钱'],['v']
784,['好'],['a']
785,['环境保护'],['n']
786,['伙伴'],['n']
787,['获取'],['v']
788,['基本面'],['n']
789,['戛纳'],['ns']
790,['健康'],['a']
791,['经常'],['d']
792,['举办'],['v']
793,"['卡', '沃斯']","['n', 'nrf']"
794,['联盟'],['j']
795,['流行病'],['n']
796,['洛斯'],['ns']
797,['目前'],['t']
798,['内部'],['f']
799,['能源安全'],['nr']
800,['扭曲'],['v']
801,['瓶颈'],['n']
802,['人'],['n']
803,['弱势群体'],['i']
804,['实体'],['n']
805,['市场经济'],['n']
806,['适用'],['v']
807,['体'],['n']
808,['体面'],['n']
809,['网络'],['n']
810,['未'],['d']
811,['相一致'],['d']
812,['研发'],['j']
813,['意义'],['n']
814,['银行业'],['n']
815,['盈余'],['n']
816,['找到'],['v']
817,['主权'],['n']
818,['状况'],['n']
819,['自身'],['r']
820,['作出贡献'],['n']
821,['28'],['m']
822,['布里斯班'],['nrt']
823,['参与者'],['n']
824,['储备'],['vn']
825,['磋商'],['vn']
826,['低效'],['a']
827,['更具'],['v']
828,['规定'],['n']
829,['合适'],['a']
830,['汇报'],['nz']
831,['结束'],['v']
832,['来源'],['n']
833,['浪费'],['n']
834,['理解'],['v']
835,['目的'],['n']
836,['难民'],['n']
837,['欧洲'],['ns']
838,['侵蚀'],['v']
839,['群体'],['n']
840,['人力资源'],['n']
841,['任务'],['n']
842,['生产率'],['n']
843,['时间表'],['n']
844,['手段'],['n']
845,['署'],['ng']
846,['他们'],['r']
847,['它们'],['r']
848,['性别'],['n']
849,['邀请'],['v']
850,['障碍'],['n']
851,['整体'],['n']
852,['指标'],['n']
853,['制度'],['n']
854,['重新'],['a']
855,['22'],['m']
856,['超过'],['v']
857,['成本'],['n']
858,['程度'],['n']
859,['储蓄'],['n']
860,['创业'],['n']
861,['奠定'],['v']
862,['返还'],['v']
863,['防范'],['v']
864,['非常'],['d']
865,['负担'],['v']
866,['公布'],['v']
867,['构建'],['v']
868,['汉堡'],['ns']
869,['宏观'],['n']
870,['尽快'],['d']
871,['竞争力'],['n']
872,['联系'],['n']
873,['路线图'],['n']
874,['伦敦'],['ns']
875,['纳入'],['v']
876,['前提'],['n']
877,['人口'],['n']
878,['审查'],['vn']
879,['石油输出国组织'],['nt']
880,['首次'],['m']
881,['税务'],['n']
882,['探索'],['v']
883,['文件'],['n']
884,['信任'],['n']
885,['型'],['k']
886,['选择'],['v']
887,['议题'],['n']
888,['营养'],['n']
889,['优惠'],['vn']
890,"['这', '是']","['r', 'v']"
891,['针对性'],['n']
892,['主导'],['b']
893,['阻碍'],['v']
894,['最低'],['a']
895,['最新'],['d']
896,['23'],['m']
897,['安塔利亚'],['ns']
898,['背景'],['n']
899,['采用'],['v']
900,['成立'],['v']
901,['赤字'],['n']
902,['此前'],['t']
903,['大'],['a']
904,['倒'],['v']
905,['杠杆'],['n']
906,['岗位'],['n']
907,['给予'],['v']
908,['更为'],['d']
909,['公私'],['n']
910,['共同行动'],['l']
911,['规范'],['n']
912,['合法性'],['n']
913,['基本'],['n']
914,['监管者'],['n']
915,['交流'],['n']
916,['结合'],['v']
917,['紧急'],['a']
918,['克服'],['v']
919,['力度'],['n']
920,['排放'],['v']
921,['确认'],['v']
922,['仍然'],['d']
923,['商品价格'],['n']
924,['十分'],['m']
925,['时代'],['n']
926,['时期'],['n']
927,['实质性'],['n']
928,['世界卫生组织'],['nt']
929,['是否'],['v']
930,['受'],['v']
931,['受益'],['v']
932,['数据库'],['n']
933,['数字化'],['n']
934,['损害'],['v']
935,['体现'],['v']
936,['投票权'],['n']
937,['相聚'],['v']
938,['效果'],['n']
939,['一套'],['m']
940,['应当'],['v']
941,['预测'],['vn']
942,['运作'],['vn']
943,['再生能源'],['l']
944,['这方面'],['mq']
945,['着'],['uz']
946,['指示'],['v']
947,['专家'],['n']
948,['自'],['p']
949,['自主'],['v']
950,['总'],['b']
951,['作'],['v']
952,['2017'],['m']
953,['壁垒'],['n']
954,['避税'],['v']
955,['部长级'],['n']
956,['出台'],['v']
957,['大量'],['n']
958,['低'],['a']
959,['多样性'],['l']
960,['发生'],['v']
961,['负面影响'],['n']
962,['附件'],['n']
963,['改革方案'],['n']
964,['感兴趣'],['n']
965,['高效'],['a']
966,['工作进展'],['l']
967,['华盛顿'],['ns']
968,['汇款'],['n']
969,['激励'],['v']
970,['集体'],['n']
971,['集中'],['v']
972,['紧密'],['a']
973,['精神'],['n']
974,['就此'],['d']
975,['可靠'],['v']
976,['恐怖主义'],['n']
977,['名单'],['n']
978,['能源技术'],['n']
979,['培育'],['vn']
980,['破产'],['v']
981,['其它'],['r']
982,['缺乏'],['v']
983,['让'],['v']
984,['设计'],['vn']
985,['深化'],['j']
986,['受到'],['v']
987,['提款权'],['n']
988,['天然气'],['nz']
989,['同样'],['d']
990,['土耳其'],['ns']
991,['推广'],['v']
992,['稳定性'],['n']
993,['无法'],['n']
994,['吸引'],['v']
995,['希望'],['v']
996,['洗钱'],['v']
997,['相应'],['v']
998,['选项'],['n']
999,['压力'],['n']
1000,['延长'],['v']
1001,['药物'],['n']
1002,['一项'],['m']
1003,['以此'],['c']
1004,['益处'],['nz']
1005,['应该'],['v']
1006,['用于'],['v']
1007,['攸关'],['ns']
1008,['占'],['v']
1009,['甄别'],['v']
1010,['职责'],['n']
1011,['足够'],['v']
1012,['必要措施'],['n']
1013,['步骤'],['n']
1014,['参考性'],['n']
1015,['承担'],['v']
1016,['处于'],['v']
1017,['创新性'],['n']
1018,"['大', '而']","['a', 'c']"
1019,['俄罗斯'],['ns']
1020,['非法'],['b']
1021,['非正式'],['b']
1022,['分配'],['vn']
1023,['负担得起'],['l']
1024,['复杂'],['a']
1025,['干预'],['v']
1026,['根源'],['n']
1027,['公共部门'],['n']
1028,['公平竞争'],['l']
1029,['公众'],['n']
1030,['供给'],['vn']
1031,['沟通'],['v']
1032,['国际金融'],['n']
1033,['过去'],['t']
1034,['涵盖'],['v']
1035,['杭州'],['ns']
1036,['加剧'],['v']
1037,['加速'],['v']
1038,['架构'],['n']
1039,['接受'],['v']
1040,['解决方案'],['n']
1041,['尽管'],['c']
1042,['紧急行动'],['l']
1043,['进入'],['v']
1044,['具备'],['v']
1045,['抗菌'],['n']
1046,['扩展'],['v']
1047,['立即'],['d']
1048,['冒险'],['n']
1049,['每个'],['r']
1050,['免受'],['v']
1051,['面向'],['n']
1052,['南南合作'],['ns']
1053,['起'],['v']
1054,['恰当'],['d']
1055,['日前'],['t']
1056,['融入'],['v']
1057,['生物'],['n']
1058,['实际'],['n']
1059,['实行'],['v']
1060,['司法'],['n']
1061,['通报'],['n']
1062,['投融资'],['n']
1063,['外国'],['ns']
1064,['相信'],['v']
1065,['协调一致'],['i']
1066,['修复'],['v']
1067,['宣布'],['v']
1068,['学习'],['v']
1069,['严格'],['ad']
1070,['要素'],['n']
1071,['一份'],['m']
1072,['一种'],['m']
1073,['银行资本'],['n']
1074,['预期'],['vn']
1075,['月份'],['n']
1076,['运用'],['vn']
1077,['责成'],['v']
1078,['者'],['k']
1079,['整个'],['b']
1080,['制订'],['v']
1081,['重视'],['v']
1082,['自由化'],['vn']
1083,['自由贸易'],['l']
1084,['本币'],['n']
1085,"['并', '于']","['c', 'p']"
1086,['不会'],['v']
1087,['不确定性'],['n']
1088,['布宜诺斯艾利斯'],['ns']
1089,['筹资'],['vn']
1090,['初步'],['d']
1091,"['促', '贸']","['v', 'vn']"
1092,['地位'],['n']
1093,['董会'],['n']
1094,['动荡'],['v']
1095,['遏制'],['v']
1096,['发挥作用'],['n']
1097,['发言权'],['l']
1098,['反恐'],['v']
1099,['个人'],['n']
1100,['供应链'],['nz']
1101,['很'],['zg']
1102,['衡量'],['v']
1103,['获益'],['v']
1104,['即'],['v']
1105,['集体行动'],['n']
1106,['家庭'],['n']
1107,['坚持'],['v']
1108,['减缓'],['v']
1109,['鉴于'],['p']
1110,['借贷'],['n']
1111,['竞争性'],['n']
1112,['纠正'],['v']
1113,['巨大'],['a']
1114,['拒绝'],['v']
1115,['决策'],['n']
1116,['坎昆'],['ns']
1117,['科学'],['n']
1118,['控制'],['v']
1119,['立法'],['d']
1120,['贸易协定'],['nz']
1121,['没有'],['v']
1122,['内容'],['n']
1123,['普遍'],['ad']
1124,['契约'],['ns']
1125,['请'],['v']
1126,['区别'],['n']
1127,['全面实施'],['n']
1128,['权重'],['n']
1129,['人权'],['n']
1130,['人员'],['n']
1131,['三方'],['m']
1132,['尚未'],['d']
1133,['势头'],['n']
1134,['数量'],['n']
1135,"['所', '作']","['c', 'v']"
1136,['提议'],['v']
1137,['提振'],['nz']
1138,['途径'],['n']
1139,['未能'],['v']
1140,['吸收'],['v']
1141,['下行'],['v']
1142,['相'],['v']
1143,['协会'],['n']
1144,['行为准则'],['n']
1145,['研拟'],['vn']
1146,['一直'],['d']
1147,['预防性'],['n']
1148,['早期'],['t']
1149,['债券市场'],['n']
1150,['之一'],['r']
1151,['执'],['v']
1152,['制约'],['n']
1153,['专家组'],['n']
1154,['自由'],['a']
1155,['总结'],['n']
1156,['组成部分'],['l']
1157,['32'],['m']
1158,['澳大利亚'],['ns']
1159,['包含'],['v']
1160,['保持警惕'],['nr']
1161,['保持一致'],['n']
1162,['保险'],['n']
1163,['比例'],['n']
1164,['便利'],['a']
1165,['表明'],['v']
1166,['步伐'],['n']
1167,['参加'],['v']
1168,['参与率'],['n']
1169,['产出'],['v']
1170,['产能'],['v']
1171,['承受'],['v']
1172,['达到'],['v']
1173,['大型'],['b']
1174,['但是'],['c']
1175,['导向'],['n']
1176,['倒闭'],['v']
1177,['抵制'],['v']
1178,['调查'],['vn']
1179,['对手'],['v']
1180,['分别'],['d']
1181,['分割'],['v']
1182,['负面'],['n']
1183,['负债表'],['n']
1184,['赋权'],['n']
1185,['更大'],['d']
1186,['工商界'],['n']
1187,['工业'],['n']
1188,['工业革命'],['nz']
1189,['关切'],['v']
1190,['官方'],['n']
1191,['鸿沟'],['n']
1192,['互助'],['v']
